[warning] This case is covered by the previous cases (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:827:7)
[warning] Unnecessary type check; the result is always 'true' (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:833:13)
[warning] Unnecessary cast (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:834:35)
[info] 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1488:41)
[info] 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1489:41)
[info] 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1504:32)
[info] 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1527:76)
[info] 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1546:48)
[info] 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1546:84)
[info] 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1554:48)
[warning] The declaration '_shouldShowCallControls' isn't referenced (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1747:8)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:436:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:438:11)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:439:11)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:444:11)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:451:13)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:454:13)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:461:15)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:465:17)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:467:17)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:480:17)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:483:17)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:485:17)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:495:15)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:497:15)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:524:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:525:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:526:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:527:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:528:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:530:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:538:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:542:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:550:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:563:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:571:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:586:13)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:588:13)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:601:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:603:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:607:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:613:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:627:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:630:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:636:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:647:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:649:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:655:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:659:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:662:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:666:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:670:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:673:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:678:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:681:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:687:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:690:3)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:744:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:757:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:759:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:785:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:789:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:795:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:806:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:814:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:818:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:824:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:828:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:838:15)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:867:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:875:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:892:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:905:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:913:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:918:11)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:937:5)
[info] Don't use 'BuildContext's across async gaps (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:944:46)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:946:13)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:948:13)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:950:13)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:953:11)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:957:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:963:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:979:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:996:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1004:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1010:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1018:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1032:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1048:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1075:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1078:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1092:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1108:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1129:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1132:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1140:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1141:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1142:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1143:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1146:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1147:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1151:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1173:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1180:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1211:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1240:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1271:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1294:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1304:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1306:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1326:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1342:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1346:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1349:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1354:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1359:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1363:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1369:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1396:9)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1399:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1405:5)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1421:7)
[info] Don't invoke 'print' in production code (/Users/krishna/Telnyx-Flutter-Demo/lib/main_working.dart:1423:7)
